lambdas,Np,thresh,fwhm_ratio,Npos,env_size,rng_seed,cosine_width,peak_x_lo,peak_x_hi
"(11, 12)",500,0.5,0.3,132,132,0,0,66,66
"(11, 12)",500,0.5,0.35,132,132,0,0,66,66
"(11, 12)",500,0.5,0.4,132,132,0,0,66,66
"(11, 12)",500,0.5,0.45,132,132,0,0,66,66
"(11, 12)",500,0.5,0.5,132,132,0,0,66,66
"(11, 12)",500,1.0,0.3,132,132,0,0,66,66
"(11, 12)",500,1.0,0.35,132,132,0,0,66,66
"(11, 12)",500,1.0,0.4,132,132,0,0,66,66
"(11, 12)",500,1.0,0.45,132,132,0,0,66,66
"(11, 12)",500,1.0,0.5,132,132,0,0,66,66
"(11, 12)",500,1.5,0.3,132,132,0,0,66,66
"(11, 12)",500,1.5,0.35,132,132,0,0,66,66
"(11, 12)",500,1.5,0.4,132,132,0,0,66,66
"(11, 12)",500,1.5,0.45,132,132,0,0,66,66
"(11, 12)",500,1.5,0.5,132,132,0,0,66,66
"(11, 12)",500,2.0,0.3,132,132,0,0,66,66
"(11, 12)",500,2.0,0.35,132,132,0,0,66,66
"(11, 12)",500,2.0,0.4,132,132,0,0,66,66
"(11, 12)",500,2.0,0.45,132,132,0,0,66,66
"(11, 12)",500,2.0,0.5,132,132,0,0,66,66
"(11, 12)",500,2.5,0.3,132,132,0,0,66,66
"(11, 12)",500,2.5,0.35,132,132,0,0,66,66
"(11, 12)",500,2.5,0.4,132,132,0,0,66,66
"(11, 12)",500,2.5,0.45,132,132,0,0,66,66
"(11, 12)",500,2.5,0.5,132,132,0,0,66,66
"(11, 12)",1000,0.5,0.3,132,132,0,0,66,66
"(11, 12)",1000,0.5,0.35,132,132,0,0,66,66
"(11, 12)",1000,0.5,0.4,132,132,0,0,66,66
"(11, 12)",1000,0.5,0.45,132,132,0,0,66,66
"(11, 12)",1000,0.5,0.5,132,132,0,0,66,66
"(11, 12)",1000,1.0,0.3,132,132,0,0,66,66
"(11, 12)",1000,1.0,0.35,132,132,0,0,66,66
"(11, 12)",1000,1.0,0.4,132,132,0,0,66,66
"(11, 12)",1000,1.0,0.45,132,132,0,0,66,66
"(11, 12)",1000,1.0,0.5,132,132,0,0,66,66
"(11, 12)",1000,1.5,0.3,132,132,0,0,66,66
"(11, 12)",1000,1.5,0.35,132,132,0,0,66,66
