field_width_min,field_width_max,Np,fields_per_cell,unique_radius_cosine_cm,peak_width_cosine_cm,unique_radius_2d_cm
5,10,100,1,16.5,0.0,0.0
5,10,100,3,13.3,2.4,0.0
5,10,100,5,15.8,8.0,0.0
5,10,100,10,15.9,10.4,0.0
5,10,100,15,14.7,8.8,0.0
5,10,100,20,16.1,17.6,0.0
5,10,500,1,20.2,5.6,0.0
5,10,500,3,20.0,8.8,0.0
5,10,500,5,21.1,32.0,0.8
5,10,500,10,21.5,37.6,1.6
5,10,500,15,22.1,35.2,3.2
5,10,500,20,21.5,37.6,5.6
5,10,1000,1,25.0,8.8,0.0
5,10,1000,3,23.1,27.2,5.6
5,10,1000,5,23.3,38.4,4.8
5,10,1000,10,24.2,34.4,8.8
5,10,1000,15,24.5,36.8,9.6
5,10,1000,20,25.4,37.6,8.8
5,10,2000,1,25.9,26.4,13.6
5,10,2000,3,24.7,48.0,7.2
5,10,2000,5,26.3,44.8,7.2
5,10,2000,10,26.2,43.2,11.2
5,10,2000,15,26.8,36.8,12.8
5,10,2000,20,25.7,36.0,16.0
5,10,4000,1,29.6,54.4,11.2
5,10,4000,3,27.8,61.6,12.0
5,10,4000,5,28.6,46.4,13.6
5,10,4000,10,27.8,39.2,16.0
5,10,4000,15,28.2,38.4,16.8
5,10,4000,20,28.2,35.2,19.2
5,10,8000,1,31.4,70.4,17.6
5,10,8000,3,29.9,57.6,14.4
5,10,8000,5,29.5,43.2,16.8
5,10,8000,10,29.8,43.2,19.2
5,10,8000,15,29.1,39.2,22.4
5,10,8000,20,30.4,37.6,24.0
10,20,100,1,31.3,4.0,0.0
10,20,100,3,30.5,4.8,0.0
10,20,100,5,34.5,25.6,3.2
10,20,100,10,36.2,27.2,5.6
10,20,100,15,36.0,35.2,5.6
10,20,100,20,36.1,38.4,9.6
10,20,500,1,43.8,28.0,5.6
10,20,500,3,47.3,46.4,12.0
10,20,500,5,47.5,77.6,14.4
10,20,500,10,44.7,64.0,21.6
10,20,500,15,46.3,59.2,25.6
10,20,500,20,44.2,60.0,28.8
10,20,1000,1,54.6,78.4,35.2
10,20,1000,3,51.5,72.8,20.0
10,20,1000,5,51.1,68.0,26.4
10,20,1000,10,50.2,66.4,31.2
10,20,1000,15,51.2,63.2,32.8
10,20,1000,20,50.4,64.8,37.6
10,20,2000,1,57.8,114.4,26.4
10,20,2000,3,52.8,68.8,29.6
10,20,2000,5,53.9,72.8,34.4
10,20,2000,10,54.1,69.6,39.2
10,20,2000,15,52.8,68.8,41.6
10,20,2000,20,53.4,67.2,40.0
10,20,4000,1,59.2,98.4,33.6
10,20,4000,3,56.9,74.4,38.4
10,20,4000,5,57.7,72.8,41.6
10,20,4000,10,58.0,70.4,46.4
10,20,4000,15,54.8,72.8,48.0
10,20,4000,20,57.9,71.2,48.0
10,20,8000,1,64.5,92.8,40.0
10,20,8000,3,61.5,75.2,44.8
10,20,8000,5,64.3,76.0,49.6
10,20,8000,10,61.8,76.8,49.6
10,20,8000,15,60.2,75.2,52.8
10,20,8000,20,64.7,74.4,53.6
20,40,100,1,79.2,40.8,16.8
20,40,100,3,79.8,70.4,16.0
20,40,100,5,74.0,86.4,32.0
20,40,100,10,68.7,88.8,42.4
20,40,100,15,78.0,100.0,48.8
20,40,100,20,80.5,99.2,50.4
20,40,500,1,109.7,142.4,63.2
20,40,500,3,95.8,120.8,52.8
20,40,500,5,98.4,112.0,64.8
20,40,500,10,98.0,124.8,76.0
20,40,500,15,103.4,115.2,78.4
20,40,500,20,96.3,120.0,76.0
20,40,1000,1,116.6,159.2,64.0
20,40,1000,3,108.9,122.4,72.8
20,40,1000,5,107.5,124.0,78.4
20,40,1000,10,110.7,129.6,85.6
20,40,1000,15,103.1,124.8,84.0
20,40,1000,20,104.2,128.8,89.6
20,40,2000,1,113.7,143.2,77.6
20,40,2000,3,112.8,139.2,88.8
20,40,2000,5,118.9,137.6,88.8
20,40,2000,10,112.8,132.0,98.4
20,40,2000,15,113.0,134.4,95.2
20,40,2000,20,111.8,135.2,96.8
