2025-10-04 22:21:24,897 INFO    MainThread:3563250 [wandb_setup.py:_flush():81] Current SDK version is 0.22.1
2025-10-04 22:21:24,898 INFO    MainThread:3563250 [wandb_setup.py:_flush():81] Configure stats pid to 3563250
2025-10-04 22:21:24,898 INFO    MainThread:3563250 [wandb_setup.py:_flush():81] Loading settings from /home/jackking/.config/wandb/settings
2025-10-04 22:21:24,898 INFO    MainThread:3563250 [wandb_setup.py:_flush():81] Loading settings from /rdma/vast-rdma/vast/fiete/jackking/cls/wandb/settings
2025-10-04 22:21:24,898 INFO    MainThread:3563250 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-10-04 22:21:24,898 INFO    MainThread:3563250 [wandb_init.py:setup_run_log_directory():705] Logging user logs to /rdma/vast-rdma/vast/fiete/jackking/cls/wandb/run-20251004_222124-fn757iex/logs/debug.log
2025-10-04 22:21:24,898 INFO    MainThread:3563250 [wandb_init.py:setup_run_log_directory():706] Logging internal logs to /rdma/vast-rdma/vast/fiete/jackking/cls/wandb/run-20251004_222124-fn757iex/logs/debug-internal.log
2025-10-04 22:21:24,898 INFO    MainThread:3563250 [wandb_init.py:init():832] calling init triggers
2025-10-04 22:21:24,898 INFO    MainThread:3563250 [wandb_init.py:init():837] wandb.init called with sweep_config: {}
config: {'size': 10, 'speed': 1, 'seed': 0, 'num_envs': 16, 'input_size': 90, 'hidden_size': 128, 'num_layers': 1, 'batch_episodes': 128, 'steps_per_episode': 20, 'n_epochs': 500, 'val_batch_episodes': 16, 'plot_every': 100, 'lr': 0.001, 'device': 'cpu', 'input_goal': False, 'input_type': 'g', '_wandb': {}}
2025-10-04 22:21:24,898 INFO    MainThread:3563250 [wandb_init.py:init():880] starting backend
2025-10-04 22:21:25,324 INFO    MainThread:3563250 [wandb_init.py:init():883] sending inform_init request
2025-10-04 22:21:25,338 INFO    MainThread:3563250 [wandb_init.py:init():891] backend started and connected
2025-10-04 22:21:25,339 INFO    MainThread:3563250 [wandb_init.py:init():961] updated telemetry
2025-10-04 22:21:25,340 INFO    MainThread:3563250 [wandb_init.py:init():985] communicating run to backend with 90.0 second timeout
2025-10-04 22:21:27,349 INFO    MainThread:3563250 [wandb_init.py:init():1036] starting run threads in backend
2025-10-04 22:21:27,880 INFO    MainThread:3563250 [wandb_run.py:_console_start():2506] atexit reg
2025-10-04 22:21:27,880 INFO    MainThread:3563250 [wandb_run.py:_redirect():2354] redirect: wrap_raw
2025-10-04 22:21:27,880 INFO    MainThread:3563250 [wandb_run.py:_redirect():2423] Wrapping output streams.
2025-10-04 22:21:27,880 INFO    MainThread:3563250 [wandb_run.py:_redirect():2446] Redirects installed.
2025-10-04 22:21:27,892 INFO    MainThread:3563250 [wandb_init.py:init():1076] run started, returning control to user process
2025-10-04 22:34:43,075 INFO    wandb-AsyncioManager-main:3563250 [service_client.py:_forward_responses():80] Reached EOF.
2025-10-04 22:34:43,075 INFO    wandb-AsyncioManager-main:3563250 [mailbox.py:close():137] Closing mailbox, abandoning 1 handles.
